,Year,Mileage,Engine,Power,Seats,Price,Miles_Driven,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Owner_Type_First,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third
1391,2017,42,1196.0,86.8,5.0,9857,15593,0,0,0,1,0,1,1,0,0,0
1392,2007,37,796.0,37.0,4.0,1140,36660,0,0,0,1,0,1,1,0,0,0
1393,2014,61,1498.0,98.6,5.0,7606,22369,0,1,0,0,0,1,1,0,0,0
1394,2012,37,2179.0,140.0,7.0,11789,22990,0,1,0,0,0,1,1,0,0,0
1395,2010,47,1399.0,68.0,5.0,3955,55923,0,1,0,0,0,1,1,0,0,0
1396,2018,39,1497.0,121.36,5.0,13995,10563,0,0,0,1,0,1,1,0,0,0
1397,2015,43,1197.0,81.83,5.0,7682,26454,0,0,0,1,0,1,1,0,0,0
1398,2012,30,2494.0,100.0,7.0,14603,81399,0,1,0,0,0,1,1,0,0,0
1399,2013,48,1461.0,83.8,5.0,8366,45981,0,1,0,0,0,1,1,0,0,0
1400,2013,30,2494.0,100.6,8.0,14223,29349,0,1,0,0,0,1,1,0,0,0
1401,2009,39,1497.0,118.0,5.0,3955,143954,0,0,0,1,0,1,1,0,0,0
1402,2016,56,998.0,67.1,5.0,5324,6213,0,0,0,1,0,1,1,0,0,0
1403,2016,45,1198.0,67.04,5.0,6480,30688,0,0,0,1,0,1,1,0,0,0
1404,2016,54,998.0,67.04,5.0,6465,7456,0,0,0,1,1,0,0,0,1,0
1405,2010,27,1796.0,178.0,5.0,17874,40389,0,0,0,1,0,1,0,0,1,0
1406,2013,55,1498.0,88.7,5.0,5324,109982,0,1,0,0,0,1,1,0,0,0
1407,2015,40,1591.0,121.3,5.0,11409,55302,0,0,0,1,0,1,1,0,0,0
1408,2009,35,1396.0,100.0,5.0,4943,44738,0,0,0,1,1,0,0,0,0,1
1409,2012,41,1298.0,85.8,5.0,7453,30447,0,0,0,1,0,1,1,0,0,0
1410,2014,34,2143.0,170.0,5.0,41072,31910,0,1,0,0,1,0,1,0,0,0
1411,2017,43,1197.0,81.86,5.0,13554,8363,0,0,0,1,0,1,1,0,0,0
1412,2014,40,1591.0,121.4,5.0,10176,22146,0,0,0,1,1,0,1,0,0,0
1413,2014,40,1998.0,163.7,5.0,9157,32867,0,1,0,0,0,1,1,0,0,0
1414,2010,33,1798.0,138.03,5.0,6845,57787,0,0,0,1,0,1,1,0,0,0
1415,2011,44,998.0,66.1,5.0,3042,43495,0,0,0,1,0,1,1,0,0,0
1416,2012,54,1461.0,63.1,5.0,3650,19913,0,1,0,0,0,1,1,0,0,0
1417,2013,59,624.0,37.48,4.0,1825,2920,0,0,0,1,0,1,1,0,0,0
1418,2014,55,1248.0,74.0,5.0,4411,44614,0,1,0,0,0,1,1,0,0,0
1419,2016,40,1968.0,184.0,5.0,41072,27961,0,1,0,0,1,0,1,0,0,0
1420,2016,60,1498.0,98.6,5.0,11409,9561,0,1,0,0,0,1,1,0,0,0
1421,2004,34,1599.0,104.0,5.0,2281,61390,0,0,0,1,0,1,1,0,0,0
1422,2016,33,1968.0,174.3,5.0,60088,26718,0,1,0,0,1,0,1,0,0,0
1423,2012,54,1248.0,73.94,5.0,5156,52886,0,1,0,0,0,1,1,0,0,0
1424,2018,36,2179.0,120.0,7.0,18863,23490,0,1,0,0,0,1,1,0,0,0
1425,2014,66,1248.0,88.5,5.0,10420,27961,0,1,0,0,0,1,1,0,0,0
1426,2011,50,1364.0,138.0,5.0,8747,72079,0,1,0,0,0,1,0,0,1,0
1427,2015,58,1396.0,69.0,5.0,3042,62182,0,1,0,0,0,1,0,0,1,0
1428,2006,37,796.0,37.0,4.0,1369,102526,0,0,0,1,0,1,1,0,0,0
1429,2015,38,1198.0,74.0,5.0,5780,13670,0,0,0,1,0,1,1,0,0,0
1430,2017,34,1999.0,149.92,5.0,24871,5903,0,0,0,1,1,0,1,0,0,0
1431,2012,27,2982.0,169.0,7.0,25100,94448,0,1,0,0,1,0,1,0,0,0
1432,2019,50,1197.0,83.1,5.0,13234,11001,0,0,0,1,0,1,1,0,0,0
1433,2016,50,1197.0,83.1,5.0,9279,7456,0,0,0,1,0,1,1,0,0,0
1434,2013,55,1998.0,112.0,5.0,33375,31689,0,1,0,0,1,0,1,0,0,0
1435,2009,30,2987.0,210.0,5.0,33466,26097,0,1,0,0,1,0,0,0,1,0
1436,2015,49,998.0,67.1,5.0,4031,31689,0,0,0,1,0,1,1,0,0,0
1437,2017,47,1197.0,81.8,5.0,8016,26425,0,0,0,1,0,1,1,0,0,0
1438,2014,51,1248.0,74.0,5.0,3772,27961,0,1,0,0,0,1,1,0,0,0
1439,2011,30,2494.0,102.0,8.0,9127,43495,0,1,0,0,0,1,1,0,0,0
1440,2009,27,2982.0,171.0,7.0,13538,57166,0,1,0,0,0,1,1,0,0,0
1441,2012,44,1995.0,184.0,5.0,27381,35515,0,1,0,0,1,0,0,0,1,0
1442,2016,39,1395.0,138.02,5.0,17707,33063,0,0,0,1,0,1,1,0,0,0
1443,2019,27,2982.0,171.0,7.0,13675,49709,0,1,0,0,0,1,1,0,0,0
1444,2009,36,1896.0,105.0,5.0,7986,45981,0,1,0,0,1,0,1,0,0,0
1445,2011,54,1396.0,90.0,5.0,4487,22990,0,1,0,0,0,1,1,0,0,0
1446,2013,49,1248.0,88.76,5.0,4031,39767,0,1,0,0,0,1,0,0,1,0
1447,2013,35,1598.0,103.6,5.0,6084,35540,0,0,0,1,0,1,1,0,0,0
1448,2016,41,1582.0,126.2,5.0,19015,34175,0,1,0,0,1,0,1,0,0,0
1449,2014,49,1197.0,85.8,5.0,4943,20505,0,0,0,1,0,1,1,0,0,0
1450,2008,30,1997.0,141.1,5.0,6084,43495,0,0,0,1,0,1,1,0,0,0
1451,2012,35,2179.0,140.0,7.0,9507,46602,0,1,0,0,0,1,0,0,1,0
1452,2016,50,1498.0,108.62,5.0,8823,36098,0,1,0,0,0,1,1,0,0,0
1453,2015,41,1193.0,88.7,5.0,7606,4626,0,0,0,1,0,1,1,0,0,0
1454,2016,30,2993.0,270.88,5.0,89341,10968,0,1,0,0,1,0,1,0,0,0
1455,2018,33,1798.0,138.03,5.0,26606,17597,0,0,0,1,1,0,1,0,0,0
1456,2011,44,998.0,66.1,5.0,2966,42874,0,0,0,1,0,1,0,0,1,0
1457,2007,26,2354.0,142.0,5.0,4563,49709,0,0,0,1,1,0,1,0,0,0
1458,2014,39,1197.0,80.0,5.0,8366,26324,0,0,0,1,0,1,1,0,0,0
1459,2013,29,2982.0,168.5,7.0,25100,76428,0,1,0,0,1,0,1,0,0,0
1460,2011,27,1796.0,186.0,5.0,22057,24854,0,0,0,1,1,0,0,0,1,0
1461,2016,64,1248.0,74.0,5.0,11850,18710,0,1,0,0,0,1,1,0,0,0
1462,2017,48,1248.0,88.76,7.0,12580,27200,0,1,0,0,0,1,1,0,0,0
1463,2019,29,2993.0,255.0,5.0,147664,16163,0,1,0,0,1,0,1,0,0,0
1464,2012,30,1598.0,102.5,5.0,3270,34796,0,0,0,1,0,1,1,0,0,0
1465,2008,30,1799.0,130.0,5.0,4563,59030,0,0,0,1,1,0,0,0,1,0
1466,2014,37,1995.0,184.0,5.0,43795,25531,0,1,0,0,1,0,1,0,0,0
1467,2011,47,1968.0,138.1,5.0,8290,26090,0,1,0,0,1,0,1,0,0,0
1468,2013,55,1248.0,74.0,5.0,6008,45040,0,1,0,0,0,1,1,0,0,0
1469,2013,54,1984.0,150.0,5.0,24339,57166,0,1,0,0,1,0,1,0,0,0
1470,2013,41,1298.0,85.8,5.0,6465,24854,0,0,0,1,0,1,1,0,0,0
1471,2014,29,2179.0,187.7,5.0,52482,34796,0,1,0,0,1,0,1,0,0,0
1472,2008,27,2354.0,177.6,5.0,3955,77671,0,0,0,1,1,0,0,0,0,1
1473,2017,30,2494.0,100.6,8.0,20506,18155,0,1,0,0,0,1,1,0,0,0
1474,2018,29,2982.0,168.5,7.0,48831,24809,0,1,0,0,0,1,1,0,0,0
1475,2018,43,1199.0,88.7,5.0,9385,23980,0,0,0,1,0,1,1,0,0,0
1476,2015,39,1497.0,118.0,5.0,8366,19883,0,0,0,1,0,1,1,0,0,0
1477,2017,66,1248.0,73.75,5.0,13919,17538,0,1,0,0,1,0,1,0,0,0
1478,2014,50,1461.0,84.8,5.0,6845,59030,0,1,0,0,0,1,1,0,0,0
1479,2014,30,2494.0,100.6,8.0,15972,120545,0,1,0,0,0,1,1,0,0,0
1480,2016,45,1198.0,86.8,5.0,8168,9209,0,0,0,1,0,1,1,0,0,0
1481,2012,35,1598.0,103.6,5.0,8290,32311,0,0,0,1,0,1,1,0,0,0
1482,2016,37,2179.0,140.0,7.0,14071,20505,0,1,0,0,0,1,1,0,0,0
1483,2016,54,1498.0,98.96,5.0,11713,18144,0,1,0,0,0,1,1,0,0,0
1484,2012,41,1968.0,108.49,5.0,12154,61984,0,1,0,0,0,1,1,0,0,0
1485,2012,47,1197.0,78.9,5.0,4563,30447,0,0,0,1,0,1,1,0,0,0
1486,2005,30,2494.0,102.0,8.0,6084,185990,0,1,0,0,0,1,1,0,0,0
1487,2018,48,1248.0,88.7,5.0,10176,23804,0,1,0,0,0,1,1,0,0,0
1488,2014,53,1248.0,74.0,5.0,6465,34796,0,1,0,0,0,1,1,0,0,0
1489,2017,51,1498.0,108.4,5.0,15972,19448,0,1,0,0,1,0,1,0,0,0
1490,2019,32,2393.0,147.8,8.0,34303,6984,0,1,0,0,0,1,1,0,0,0
1491,2014,40,1591.0,121.3,5.0,7910,29825,0,0,0,1,0,1,0,0,1,0
1492,2019,40,1497.0,117.3,5.0,18056,14839,0,0,0,1,0,1,1,0,0,0
1493,2014,61,1498.0,98.6,5.0,10633,40389,0,1,0,0,0,1,1,0,0,0
1494,2011,48,1598.0,103.6,5.0,7606,31068,0,1,0,0,0,1,1,0,0,0
1495,2014,28,2967.0,236.0,5.0,66933,15534,0,1,0,0,1,0,1,0,0,0
1496,2015,53,796.0,47.3,5.0,4244,13048,0,0,0,1,0,1,1,0,0,0
1497,2012,49,1248.0,88.8,5.0,4411,91962,0,1,0,0,0,1,0,0,1,0
1498,2016,35,1591.0,121.3,5.0,14984,42253,0,0,0,1,0,1,1,0,0,0
1499,2014,28,2987.0,224.0,7.0,74539,32311,0,1,0,0,1,0,1,0,0,0
1500,2016,38,2498.0,105.0,6.0,14071,11806,0,1,0,0,0,1,1,0,0,0
1501,2011,52,1582.0,126.3,5.0,5704,45981,0,1,0,0,0,1,0,0,1,0
1502,2017,61,1498.0,99.0,5.0,11089,18814,0,1,0,0,0,1,1,0,0,0
1503,2016,48,1496.0,113.98,4.0,35748,12427,0,1,0,0,1,0,1,0,0,0
1504,2013,32,796.0,35.0,5.0,3955,21644,0,0,0,1,0,1,1,0,0,0
1505,2015,49,1461.0,65.0,5.0,4715,55923,0,1,0,0,0,1,0,0,1,0
1506,2016,33,2143.0,203.0,5.0,45606,24065,0,1,0,0,1,0,1,0,0,0
1507,2016,44,1461.0,108.45,5.0,10237,35660,0,1,0,0,0,1,1,0,0,0
1508,2016,55,1248.0,74.0,5.0,5324,62137,0,1,0,0,0,1,1,0,0,0
1509,2011,38,1198.0,73.9,5.0,3574,31068,0,0,0,1,0,1,1,0,0,0
1510,2017,37,2179.0,140.0,7.0,24537,40364,0,1,0,0,0,1,1,0,0,0
1511,2014,38,1198.0,74.0,5.0,8975,45027,0,0,0,1,0,1,1,0,0,0
1512,2012,49,1197.0,85.8,5.0,5932,42735,0,0,0,1,0,1,1,0,0,0
1513,2012,30,2494.0,102.0,7.0,10572,42253,0,1,0,0,0,1,1,0,0,0
1514,2015,61,1498.0,98.6,5.0,10648,20505,0,1,0,0,0,1,1,0,0,0
1515,2017,39,1198.0,73.75,5.0,10998,13911,0,0,0,1,0,1,1,0,0,0
1516,2012,50,1248.0,88.8,5.0,5795,55923,0,1,0,0,0,1,1,0,0,0
1517,2012,43,1197.0,85.8,5.0,6845,26097,0,0,0,1,0,1,0,0,0,1
1518,2017,46,1582.0,126.2,5.0,19167,24088,0,1,0,0,0,1,1,0,0,0
1519,2015,28,2967.0,241.4,7.0,73018,13048,0,1,0,0,1,0,1,0,0,0
1520,2010,46,796.0,46.3,5.0,4502,36745,0,0,0,1,0,1,1,0,0,0
1521,2014,60,1498.0,98.6,5.0,4943,22369,0,1,0,0,0,1,1,0,0,0
1522,2011,43,1968.0,167.7,5.0,12930,59030,0,1,0,0,1,0,0,0,1,0
1523,2013,45,1582.0,126.24,5.0,13310,31689,0,1,0,0,1,0,1,0,0,0
1524,2011,44,998.0,67.1,5.0,4685,22624,0,0,0,1,0,1,1,0,0,0
1525,2017,30,1999.0,148.31,7.0,63130,24854,0,1,0,0,1,0,1,0,0,0
1526,2016,41,1497.0,117.3,5.0,10648,16963,0,0,0,1,0,1,1,0,0,0
1527,2011,34,1991.0,181.03,5.0,17494,18524,0,0,0,1,1,0,0,0,1,0
1528,2011,48,998.0,67.04,5.0,3955,44117,0,0,0,1,0,1,1,0,0,0
1529,2014,52,1582.0,126.3,5.0,6541,19883,0,1,0,0,0,1,1,0,0,0
1530,2017,41,1373.0,80.46,7.0,12702,11951,1,0,0,0,0,1,1,0,0,0
1531,2017,40,1968.0,141.0,5.0,37878,31385,0,1,0,0,1,0,1,0,0,0
1532,2011,35,1995.0,177.0,5.0,20916,63379,0,1,0,0,1,0,1,0,0,0
1533,2014,56,1186.0,73.97,5.0,5856,26269,0,1,0,0,0,1,1,0,0,0
1534,2014,30,2143.0,201.1,5.0,35368,28583,0,1,0,0,1,0,1,0,0,0
1535,2015,44,1197.0,82.0,5.0,8747,31068,0,0,0,1,0,1,1,0,0,0
1536,2008,47,1197.0,78.9,5.0,2510,38525,0,0,0,1,0,1,0,0,1,0
1537,2012,45,1968.0,138.1,5.0,9887,48466,0,1,0,0,0,1,1,0,0,0
1538,2011,41,1968.0,138.08,5.0,11409,49088,0,1,0,0,0,1,1,0,0,0
1539,2019,34,2967.0,245.0,7.0,110957,4208,0,1,0,0,1,0,1,0,0,0
1540,2010,27,2982.0,171.0,7.0,16733,83885,0,1,0,0,0,1,0,0,1,0
1541,2013,44,1061.0,67.0,5.0,4594,22814,0,0,0,1,0,1,1,0,0,0
1542,2013,49,814.0,55.2,5.0,5050,40426,0,0,0,1,0,1,1,0,0,0
1543,2013,45,1198.0,86.8,5.0,4928,20505,0,0,0,1,0,1,1,0,0,0
1544,2015,53,796.0,47.3,5.0,3574,6903,0,0,0,1,0,1,1,0,0,0
1545,2013,37,2523.0,62.1,7.0,8366,39146,0,1,0,0,0,1,1,0,0,0
1546,2015,41,1497.0,117.3,5.0,10268,16795,0,0,0,1,0,1,1,0,0,0
1547,2015,35,1598.0,103.52,5.0,9355,12178,0,0,0,1,0,1,1,0,0,0
1548,2016,51,1197.0,81.8,5.0,8290,17246,0,0,0,1,0,1,1,0,0,0
1549,2013,49,814.0,55.2,5.0,3498,12427,0,0,0,1,0,1,0,0,1,0
1550,2015,49,1197.0,83.14,5.0,9446,15398,0,0,0,1,0,1,1,0,0,0
1551,2014,45,1198.0,76.0,5.0,7925,29392,0,0,0,1,1,0,1,0,0,0
1552,2008,19,4134.0,250.0,7.0,18239,44117,0,0,0,1,1,0,1,0,0,0
1553,2010,41,1248.0,75.0,5.0,4715,83885,0,1,0,0,0,1,1,0,0,0
1554,2017,31,2179.0,138.03,5.0,11409,621,0,1,0,0,0,1,1,0,0,0
1555,2016,47,1498.0,88.8,5.0,6084,18019,0,1,0,0,0,1,1,0,0,0
1556,2016,41,1497.0,117.3,5.0,11759,22597,0,0,0,1,0,1,1,0,0,0
1557,2015,40,1497.0,117.3,5.0,11865,23612,0,0,0,1,0,1,1,0,0,0
1558,2011,37,796.0,37.0,4.0,1977,52175,0,0,0,1,0,1,1,0,0,0
1559,2014,47,1498.0,88.8,5.0,6723,51338,0,1,0,0,0,1,1,0,0,0
1560,2009,29,1991.0,147.9,7.0,6084,55302,0,1,0,0,1,0,1,0,0,0
1561,2016,37,2179.0,140.0,7.0,19775,33554,0,1,0,0,0,1,1,0,0,0
1562,2015,60,1498.0,98.6,5.0,8184,38332,0,1,0,0,0,1,1,0,0,0
1563,2011,39,1197.0,80.0,5.0,4943,20008,0,0,0,1,0,1,0,0,1,0
1564,2016,48,998.0,67.0,5.0,5887,42644,0,0,0,1,1,0,1,0,0,0
1565,2014,39,1968.0,138.03,5.0,12550,37903,0,1,0,0,1,0,0,0,1,0
1566,2018,48,1373.0,91.1,5.0,14116,20284,0,0,0,1,0,1,1,0,0,0
1567,2012,27,2179.0,120.0,7.0,9507,52816,0,1,0,0,1,0,1,0,0,0
1568,2008,35,1150.0,74.9,5.0,1749,46602,0,0,0,1,0,1,0,0,1,0
1569,2016,48,1373.0,91.2,5.0,11865,25070,0,0,0,1,0,1,1,0,0,0
1570,2012,54,1396.0,90.0,5.0,6845,37771,0,1,0,0,0,1,1,0,0,0
1571,2018,43,1199.0,88.7,5.0,11500,11597,0,0,0,1,0,1,1,0,0,0
1572,2017,37,2179.0,140.0,7.0,24461,35944,0,1,0,0,0,1,1,0,0,0
1573,2012,39,1197.0,80.0,5.0,6845,32458,0,0,0,1,0,1,1,0,0,0
1574,2012,52,1582.0,126.32,5.0,7606,79535,0,1,0,0,0,1,1,0,0,0
1575,2011,46,1086.0,68.05,5.0,3346,33554,0,0,0,1,0,1,1,0,0,0
1576,2014,54,998.0,67.04,5.0,6084,30944,0,0,0,1,1,0,1,0,0,0
1577,2012,49,1199.0,73.9,5.0,3818,60894,0,1,0,0,0,1,1,0,0,0
1578,2015,59,1248.0,74.0,5.0,7225,37341,0,1,0,0,0,1,1,0,0,0
1579,2008,37,1086.0,66.7,5.0,3042,42253,0,0,0,1,0,1,0,0,1,0
1580,2010,47,1197.0,78.9,5.0,3194,50580,0,0,0,1,0,1,0,0,1,0
1581,2013,38,1499.0,110.0,5.0,9507,23612,0,0,0,1,1,0,1,0,0,0
1582,2011,27,2987.0,210.0,5.0,16124,57314,0,1,0,0,1,0,0,0,1,0
1583,2017,59,1248.0,74.0,5.0,9127,30586,0,1,0,0,0,1,1,0,0,0
1584,2004,37,796.0,37.0,4.0,684,7456,0,0,0,1,0,1,0,0,1,0
1585,2010,37,1298.0,88.2,5.0,3803,34112,0,0,0,1,0,1,0,0,0,1
1586,2018,35,1591.0,121.3,5.0,19395,1553,0,0,0,1,0,1,1,0,0,0
1587,2017,40,1995.0,190.0,5.0,46077,20404,0,1,0,0,1,0,1,0,0,0
1588,2006,32,1299.0,70.0,5.0,2433,16824,0,0,0,1,0,1,1,0,0,0
1589,2017,53,1498.0,89.84,5.0,11469,46879,0,1,0,0,0,1,1,0,0,0
1590,2015,48,1373.0,91.1,5.0,10405,28956,0,0,0,1,0,1,1,0,0,0
1591,2012,43,1968.0,167.7,5.0,9127,44738,0,1,0,0,1,0,1,0,0,0
1592,2017,64,1498.0,98.6,5.0,12169,16777,0,1,0,0,0,1,1,0,0,0
1593,2016,40,1968.0,174.33,5.0,37634,42373,0,1,0,0,1,0,1,0,0,0
1594,2017,56,1120.0,70.0,5.0,8366,21393,0,1,0,0,0,1,1,0,0,0
1595,2013,28,2987.0,224.0,7.0,54763,28583,0,1,0,0,1,0,1,0,0,0
1596,2013,30,2494.0,100.6,7.0,17935,50047,0,1,0,0,0,1,1,0,0,0
1597,2011,39,1498.0,97.7,5.0,4563,26097,0,0,0,1,0,1,0,0,1,0
1598,2011,47,1968.0,138.1,5.0,10268,58919,0,1,0,0,1,0,0,0,1,0
1599,2006,34,1399.0,92.7,5.0,2129,62137,0,0,0,1,0,1,1,0,0,0
1600,2014,56,1498.0,98.6,7.0,8747,35418,0,1,0,0,0,1,1,0,0,0
1601,2010,49,1248.0,73.9,5.0,5172,49643,0,1,0,0,0,1,1,0,0,0
1602,2011,38,1198.0,73.9,5.0,7438,27805,0,0,0,1,0,1,0,0,1,0
1603,2013,31,1598.0,102.5,5.0,7530,19262,0,0,0,1,0,1,1,0,0,0
1604,2013,39,998.0,66.1,5.0,5309,37647,0,0,0,1,1,0,0,0,1,0
1605,2014,39,1497.0,118.0,5.0,9659,27198,0,0,0,1,0,1,1,0,0,0
1606,2017,44,1197.0,82.0,5.0,10770,14649,0,0,0,1,1,0,1,0,0,0
1607,2017,31,1999.0,177.0,5.0,57806,2485,0,1,0,0,1,0,1,0,0,0
1608,2012,28,2179.0,120.0,8.0,9507,38525,0,1,0,0,0,1,1,0,0,0
1609,2011,27,1796.0,186.0,5.0,15440,22369,0,0,0,1,1,0,1,0,0,0
1610,2014,32,1798.0,157.75,5.0,16353,49709,0,0,0,1,1,0,1,0,0,0
1611,2012,42,1991.0,147.9,4.0,7073,85132,0,1,0,0,1,0,1,0,0,0
1612,2010,28,2179.0,120.0,8.0,7225,37904,0,1,0,0,0,1,1,0,0,0
1613,2015,40,1591.0,121.3,5.0,11835,32429,0,0,0,1,0,1,1,0,0,0
1614,2016,54,1396.0,90.0,5.0,10268,47892,0,1,0,0,0,1,1,0,0,0
1615,2008,38,1497.0,78.0,5.0,4548,34796,0,0,0,1,1,0,1,0,0,0
1616,2013,47,1197.0,78.9,5.0,3574,13048,0,0,0,1,0,1,1,0,0,0
1617,2013,60,1498.0,98.6,5.0,5552,55568,0,1,0,0,0,1,1,0,0,0
1618,2012,52,998.0,67.04,5.0,4168,28353,0,0,0,1,0,1,0,0,1,0
1619,2013,45,1198.0,86.8,5.0,5324,33528,0,0,0,1,0,1,1,0,0,0
1620,2014,39,1197.0,80.0,5.0,7241,34674,0,0,0,1,0,1,1,0,0,0
1621,2016,35,1598.0,103.2,5.0,9431,16092,0,0,0,1,0,1,1,0,0,0
1622,2008,43,1896.0,66.0,5.0,3574,50952,0,1,0,0,0,1,0,0,1,0
1623,2014,30,2143.0,204.0,5.0,37269,32311,0,1,0,0,1,0,1,0,0,0
1624,2013,31,1598.0,102.57,5.0,9127,12427,0,0,0,1,0,1,1,0,0,0
1625,2017,49,814.0,55.2,5.0,5552,19777,0,0,0,1,0,1,1,0,0,0
1626,2016,43,1197.0,85.8,5.0,9522,11243,0,0,0,1,0,1,0,0,1,0
1627,2015,31,2967.0,241.4,5.0,50124,7434,0,1,0,0,1,0,1,0,0,0
1628,2018,43,1197.0,81.83,5.0,11865,14095,0,0,0,1,0,1,1,0,0,0
1629,2014,45,1198.0,86.8,5.0,6465,27042,0,0,0,1,0,1,1,0,0,0
1630,2014,41,1298.0,85.8,5.0,7393,30687,0,0,0,1,0,1,1,0,0,0
1631,2017,44,1197.0,81.86,5.0,7453,7610,0,0,0,1,0,1,1,0,0,0
1632,2014,27,2498.0,112.0,8.0,10739,42110,0,1,0,0,0,1,1,0,0,0
1633,2015,40,1798.0,189.0,4.0,6845,37286,0,0,0,1,1,0,1,0,0,0
1634,2011,56,998.0,67.1,5.0,4898,30213,0,0,0,1,0,1,1,0,0,0
1635,2014,51,1199.0,73.9,5.0,4943,18641,0,1,0,0,0,1,1,0,0,0
1636,2016,44,1197.0,82.0,5.0,6891,50706,0,0,0,1,0,1,1,0,0,0
1637,2017,34,2143.0,170.0,5.0,52908,20282,0,1,0,0,1,0,1,0,0,0
1638,2014,37,1591.0,121.3,5.0,9887,21250,0,0,0,1,1,0,1,0,0,0
1639,2010,36,1172.0,67.0,5.0,3422,44865,0,0,0,1,0,1,1,0,0,0
1640,2011,30,2494.0,100.0,8.0,12169,97149,0,1,0,0,0,1,0,0,1,0
1641,2017,43,1493.0,100.0,7.0,12732,29426,0,1,0,0,1,0,1,0,0,0
1642,2015,47,1498.0,88.8,5.0,8199,38362,0,1,0,0,0,1,1,0,0,0
1643,2018,52,1995.0,190.0,5.0,56741,20247,0,1,0,0,1,0,1,0,0,0
1644,2018,27,2987.0,254.79,5.0,107702,24934,0,1,0,0,1,0,1,0,0,0
1645,2012,27,2987.0,254.8,5.0,33847,31689,0,1,0,0,1,0,1,0,0,0
1646,2018,44,1197.0,81.86,5.0,9172,6457,0,0,0,1,0,1,1,0,0,0
1647,2011,32,1798.0,157.75,5.0,7453,28583,0,0,0,1,1,0,1,0,0,0
1648,2013,39,1197.0,78.9,5.0,6024,13048,0,0,0,1,1,0,1,0,0,0
1649,2011,54,1396.0,90.0,5.0,6997,70564,0,1,0,0,0,1,1,0,0,0
1650,2011,28,2179.0,120.0,8.0,8366,62143,0,1,0,0,0,1,0,0,1,0
1651,2013,45,1198.0,86.8,5.0,4943,39212,0,0,0,1,0,1,1,0,0,0
1652,2017,43,1197.0,81.83,5.0,9507,36350,0,0,0,1,0,1,1,0,0,0
1653,2007,25,2499.0,143.0,7.0,4563,55923,0,1,0,0,0,1,0,1,0,0
1654,2011,39,1493.0,110.0,5.0,6465,67258,0,1,0,0,0,1,1,0,0,0
1655,2011,27,2982.0,171.0,7.0,18634,90906,0,1,0,0,0,1,1,0,0,0
1656,2011,40,1995.0,184.0,5.0,16657,39110,0,1,0,0,1,0,0,0,1,0
1657,2013,29,2982.0,168.5,7.0,25100,40389,0,1,0,0,1,0,1,0,0,0
1658,2018,44,1199.0,88.76,5.0,11865,1056,0,0,0,1,1,0,1,0,0,0
1659,2013,46,1086.0,68.05,5.0,5628,21559,0,0,0,1,0,1,1,0,0,0
1660,2012,39,1197.0,80.0,5.0,6084,36039,0,0,0,1,0,1,1,0,0,0
1661,2015,46,1995.0,187.74,5.0,40692,20194,0,1,0,0,1,0,1,0,0,0
1662,2016,35,1968.0,181.0,5.0,42639,36450,0,1,0,0,1,0,1,0,0,0
1663,2017,47,1197.0,81.8,5.0,8275,23067,0,0,0,1,0,1,1,0,0,0
1664,2017,50,1197.0,83.1,5.0,9431,27340,0,0,0,1,1,0,1,0,0,0
1665,2005,31,1495.0,94.0,5.0,1369,28085,0,0,0,1,0,1,1,0,0,0
1666,2016,43,1197.0,85.8,5.0,6008,6835,0,0,0,1,0,1,1,0,0,0
1667,2011,61,624.0,35.0,4.0,669,40389,0,0,0,1,0,1,0,0,1,0
1668,2012,47,1399.0,68.0,5.0,4183,34178,0,1,0,0,0,1,1,0,0,0
1669,2011,43,1968.0,167.7,5.0,11409,50734,0,1,0,0,1,0,1,0,0,0
1670,2010,44,1248.0,93.0,5.0,3803,99419,0,1,0,0,0,1,0,0,1,0
1671,2015,35,2489.0,93.7,7.0,7606,105011,0,1,0,0,0,1,1,0,0,0
1672,2013,44,998.0,67.1,5.0,5476,41795,0,0,0,1,0,1,1,0,0,0
1673,2012,41,1496.0,88.7,5.0,6069,27478,0,0,0,1,0,1,1,0,0,0
1674,2015,44,1197.0,82.0,5.0,8579,22891,0,0,0,1,0,1,1,0,0,0
1675,2014,30,2494.0,100.0,8.0,18254,99419,0,1,0,0,0,1,1,0,0,0
1676,2008,39,1405.0,62.0,5.0,1064,82642,0,1,0,0,0,1,1,0,0,0
1677,2015,44,1995.0,184.0,5.0,28903,42951,0,1,0,0,1,0,1,0,0,0
1678,2017,25,3198.0,197.0,7.0,46366,23612,0,1,0,0,1,0,1,0,0,0
1679,2017,50,1462.0,103.25,5.0,12474,3417,0,0,0,1,0,1,1,0,0,0
1680,2015,60,1498.0,99.0,5.0,11485,621,0,1,0,0,0,1,1,0,0,0
1681,2007,35,1150.0,74.9,5.0,1506,36660,0,0,0,1,0,1,0,0,0,1
1682,2011,39,1497.0,118.0,5.0,6313,48626,0,0,0,1,1,0,1,0,0,0
1683,2016,39,1498.0,97.6,5.0,9431,55923,0,0,0,1,0,1,1,0,0,0
1684,2016,44,1197.0,85.8,5.0,6693,11184,0,0,0,1,0,1,1,0,0,0
1685,2012,47,1399.0,68.0,5.0,3194,37282,0,1,0,0,0,1,1,0,0,0
