,Year,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Miles_Driven
781,2018,Petrol,Manual,First,43,1197.0,81.83,5.0,9659,6835
782,2013,Petrol,Manual,First,39,1497.0,116.3,5.0,7530,37697
783,2018,Diesel,Manual,First,64,1498.0,98.6,5.0,12930,7456
784,2013,Petrol,Manual,First,40,1591.0,121.3,5.0,6845,21747
785,2015,Diesel,Manual,First,56,1498.0,98.6,7.0,8366,40389
786,2013,Diesel,Manual,First,48,1248.0,88.8,7.0,9979,24810
787,2014,Petrol,Manual,First,56,998.0,67.1,5.0,3498,30447
788,2004,Diesel,Manual,Second,30,2446.0,75.0,10.0,5324,48315
789,2016,Petrol,Manual,First,47,1197.0,78.9,5.0,6921,13332
790,2009,Diesel,Automatic,Second,39,1896.0,105.0,5.0,11789,45981
791,2015,Petrol,Manual,Second,43,1197.0,81.83,5.0,7986,22990
792,2013,Diesel,Automatic,First,27,2993.0,235.0,5.0,35429,67505
793,2016,Diesel,Automatic,First,53,1995.0,190.0,5.0,36494,23612
794,2010,Petrol,Manual,First,34,1399.0,92.7,5.0,2722,49709
795,2011,Diesel,Automatic,Second,33,2143.0,203.0,5.0,21144,29204
796,2013,Diesel,Automatic,First,41,1968.0,174.33,5.0,28827,19262
797,2014,Petrol,Manual,First,48,998.0,67.04,5.0,3787,24854
798,2016,Petrol,Manual,First,59,799.0,53.3,5.0,4791,2579
799,2017,Diesel,Manual,First,50,1498.0,108.62,5.0,9811,31689
800,2013,Diesel,Manual,First,51,1199.0,73.9,5.0,6465,34175
801,2014,Petrol,Manual,First,53,796.0,47.3,5.0,4183,36350
802,2017,Petrol,Manual,First,43,1197.0,81.83,5.0,10861,36424
803,2012,Petrol,Manual,Third,39,1197.0,80.0,5.0,5324,44224
804,2017,Diesel,Manual,First,53,1396.0,88.73,5.0,11104,7456
805,2014,Petrol,Manual,First,48,998.0,67.04,5.0,4183,15534
806,2017,Diesel,Manual,Second,53,1396.0,88.73,5.0,12474,26718
807,2015,Petrol,Automatic,First,40,1197.0,103.6,5.0,9903,35431
808,2015,Diesel,Manual,First,47,1399.0,68.05,5.0,6465,57166
809,2014,Petrol,Manual,Second,43,1197.0,85.8,5.0,9446,20736
810,2016,Diesel,Manual,First,56,1120.0,70.0,5.0,6967,32699
811,2016,Diesel,Manual,First,32,2179.0,118.3,7.0,11409,133594
812,2012,CNG,Manual,First,63,796.0,38.4,5.0,3194,40722
813,2014,Petrol,Manual,First,46,1086.0,68.05,5.0,6221,37368
814,2014,Diesel,Automatic,First,45,1968.0,141.0,5.0,16353,52195
815,2014,Diesel,Automatic,First,37,2993.0,258.0,7.0,63130,29204
816,2014,Petrol,Automatic,First,54,998.0,67.04,5.0,6693,20784
817,2013,Diesel,Manual,Second,48,1598.0,103.6,5.0,9507,77671
818,2011,Diesel,Automatic,Second,37,1995.0,181.0,5.0,15972,61892
819,2014,Diesel,Manual,First,48,1248.0,88.8,7.0,11028,39767
820,2013,Diesel,Manual,First,47,1399.0,68.05,5.0,4867,31689
821,2014,Petrol,Manual,First,38,1198.0,74.0,5.0,6008,35418
822,2009,Diesel,Automatic,Second,39,2967.0,241.38,5.0,18361,29850
823,2017,Diesel,Manual,First,32,2393.0,147.8,7.0,28294,26843
824,2013,Diesel,Automatic,First,52,1582.0,126.3,5.0,8670,41010
825,2013,Petrol,Manual,First,42,1086.0,62.1,5.0,2662,19262
826,2011,Diesel,Automatic,Second,38,1968.0,147.51,5.0,16718,28583
827,2012,Diesel,Automatic,First,38,1968.0,147.51,5.0,22057,29419
828,2009,Diesel,Manual,First,39,1896.0,105.0,5.0,4730,62137
829,2015,Petrol,Automatic,First,32,1997.0,153.86,5.0,21236,39678
830,2015,Diesel,Manual,First,52,1582.0,126.32,5.0,10815,45357
831,2014,Diesel,Manual,First,57,1498.0,98.6,7.0,10496,14291
832,2018,Petrol,Manual,First,43,1197.0,81.83,5.0,11819,9932
833,2011,Diesel,Manual,Second,30,2494.0,102.0,8.0,8366,60894
834,2014,Petrol,Manual,First,43,1197.0,81.83,5.0,8138,43551
835,2011,Diesel,Manual,Second,31,2523.0,63.0,7.0,6845,61515
836,2014,Diesel,Manual,First,47,1498.0,103.2,5.0,7225,44738
837,2015,Diesel,Automatic,First,38,2179.0,187.7,5.0,49896,27460
838,2005,Petrol,Manual,First,40,993.0,60.0,5.0,1064,63379
839,2018,Diesel,Automatic,First,30,2987.0,258.0,5.0,76502,35201
840,2010,Diesel,Manual,Second,27,2982.0,171.0,7.0,16718,25880
841,2015,Petrol,Automatic,First,44,1197.0,82.0,5.0,8473,38349
842,2018,Diesel,Manual,First,59,1186.0,73.97,5.0,8975,15721
843,2016,Petrol,Manual,First,35,1591.0,121.3,5.0,14345,29214
844,2010,Petrol,Manual,First,47,1197.0,78.9,5.0,4411,42874
845,2016,Petrol,Manual,First,45,1198.0,86.8,5.0,5598,20318
846,2015,Diesel,Automatic,First,29,2982.0,168.5,7.0,32964,62967
847,2011,Diesel,Automatic,First,38,1968.0,140.0,5.0,19015,36660
848,2018,Diesel,Automatic,First,26,2755.0,171.5,7.0,30302,25933
849,2014,Diesel,Manual,First,59,1498.0,98.6,5.0,10268,44520
850,2015,Diesel,Manual,First,59,1498.0,98.6,5.0,10587,50086
851,2017,Petrol,Manual,First,51,999.0,67.0,5.0,4943,39309
852,2018,Diesel,Manual,First,66,1248.0,74.0,5.0,13158,3390
853,2017,Petrol,Automatic,First,54,998.0,67.04,5.0,7606,4660
854,2011,Diesel,Manual,First,35,2179.0,140.0,7.0,8366,41010
855,2010,Petrol,Manual,Second,47,1197.0,78.9,5.0,3955,41488
856,2014,Petrol,Manual,First,46,1086.0,68.05,5.0,5187,36332
857,2011,Petrol,Manual,First,51,1197.0,81.8,5.0,4107,29009
858,2008,Petrol,Automatic,Fourth & Above,22,1995.0,163.5,5.0,8366,47845
859,2012,Petrol,Automatic,First,33,1984.0,226.6,4.0,53242,4349
860,2011,Petrol,Automatic,Second,34,1991.0,184.0,5.0,14831,29825
861,2013,Diesel,Manual,First,50,1461.0,84.8,5.0,6465,29204
862,2015,Petrol,Manual,First,44,998.0,67.1,5.0,4867,32019
863,2014,Diesel,Manual,Second,55,1248.0,74.0,5.0,10420,16024
864,2015,Diesel,Manual,First,60,1498.0,98.6,5.0,6845,29825
865,2012,Diesel,Manual,First,66,1248.0,74.0,5.0,5400,32311
866,2010,CNG,Manual,Second,31,1495.0,93.7,5.0,2890,59426
867,2008,Diesel,Manual,First,24,2609.0,120.0,7.0,5476,81399
868,2015,Diesel,Automatic,First,30,2143.0,201.1,5.0,33162,26144
869,2012,Diesel,Manual,Second,30,2982.0,168.5,7.0,20536,47224
870,2016,Petrol,Manual,First,53,799.0,53.64,5.0,4046,12730
871,2010,Petrol,Manual,Second,39,1497.0,116.3,5.0,5704,26718
872,2018,Petrol,Automatic,First,45,2494.0,158.2,5.0,48679,10563
873,2016,Diesel,Manual,First,61,1498.0,98.6,5.0,12276,37782
874,2012,Diesel,Manual,First,45,1968.0,138.1,5.0,8579,36521
875,2013,Diesel,Automatic,First,41,1968.0,174.33,5.0,36494,43608
876,2016,Diesel,Manual,First,48,1248.0,88.76,7.0,11409,53330
877,2016,Diesel,Automatic,First,45,2143.0,167.62,5.0,41072,36166
878,2008,Diesel,Manual,Second,45,1248.0,73.9,5.0,4335,56544
879,2012,Diesel,Manual,First,44,1461.0,108.45,5.0,9659,45981
880,2010,Diesel,Manual,First,49,1248.0,73.9,5.0,5020,49289
881,2013,Petrol,Manual,First,44,1197.0,85.8,5.0,7606,23999
882,2014,Diesel,Manual,First,53,1248.0,74.0,5.0,9827,37234
883,2017,Petrol,Manual,First,49,814.0,55.2,5.0,5704,14515
884,2003,Petrol,Manual,Third,40,993.0,60.0,5.0,2312,38211
885,2012,Petrol,Manual,First,35,1196.0,73.0,7.0,5491,35207
886,2017,Diesel,Automatic,First,33,1968.0,174.3,5.0,66538,25052
887,2014,Diesel,Automatic,First,36,1968.0,174.33,5.0,30424,37282
888,2010,Diesel,Manual,First,45,1248.0,73.9,5.0,5552,80778
889,2013,Diesel,Manual,First,33,1978.0,83.1,10.0,7986,12427
890,2016,Diesel,Automatic,First,37,2993.0,258.0,7.0,88230,47224
891,2015,Petrol,Automatic,First,42,1497.0,117.3,5.0,13158,18641
892,2015,Diesel,Manual,First,58,1396.0,69.01,5.0,3803,93205
893,2014,Petrol,Automatic,First,39,1197.0,103.6,5.0,11789,17398
894,2015,Petrol,Manual,First,54,998.0,67.04,5.0,6313,45981
895,2011,Diesel,Manual,First,27,2982.0,171.0,7.0,16505,46602
896,2010,Petrol,Automatic,Second,26,2360.0,170.0,5.0,8412,47224
897,2014,Diesel,Automatic,First,36,1896.0,105.0,5.0,17494,40320
898,2015,Diesel,Manual,First,46,1582.0,126.2,5.0,14071,26718
899,2011,Petrol,Manual,First,41,1198.0,75.0,5.0,3483,29508
900,2015,Diesel,Manual,First,53,1498.0,98.59,5.0,10648,49709
901,2007,Petrol,Manual,Second,42,1061.0,64.0,5.0,2510,37282
902,2017,Petrol,Manual,First,48,1373.0,91.1,5.0,12550,3731
903,2011,Petrol,Automatic,First,34,1991.0,181.03,5.0,13903,44554
904,2016,Petrol,Manual,First,41,1198.0,86.7,5.0,9887,20505
905,2015,Diesel,Manual,First,46,1461.0,83.8,5.0,8747,56544
906,2012,LPG,Manual,First,61,998.0,58.2,5.0,4335,44738
907,2011,Petrol,Manual,Second,38,1198.0,73.9,5.0,3194,26718
908,2017,Diesel,Manual,First,46,1582.0,126.2,5.0,20612,39624
909,2012,Diesel,Automatic,First,34,2993.0,270.9,5.0,31185,27035
910,2017,Diesel,Manual,First,38,1956.0,170.0,5.0,30424,32311
911,2018,Diesel,Automatic,First,36,1999.0,177.0,5.0,90847,19527
912,2016,Diesel,Manual,First,64,1248.0,74.0,5.0,9887,18019
913,2016,Diesel,Manual,First,66,1248.0,88.5,5.0,11409,34796
914,2007,Petrol,Manual,Second,35,1586.0,104.68,5.0,3270,47224
915,2015,Diesel,Manual,First,53,1582.0,126.24,5.0,12839,33314
916,2013,Diesel,Manual,First,31,2477.0,175.56,7.0,19000,82020
917,2017,Petrol,Manual,First,39,1198.0,73.75,5.0,8336,9196
918,2013,Petrol,Manual,First,43,1197.0,85.8,5.0,6389,22017
919,2013,Diesel,Manual,First,39,1493.0,110.0,5.0,10952,51552
920,2014,Diesel,Manual,First,55,1248.0,74.0,5.0,7301,59651
921,2017,Diesel,Manual,First,59,1198.0,77.0,6.0,8868,24561
922,2018,Diesel,Manual,First,32,2393.0,147.8,7.0,27975,57200
923,2016,Petrol,Manual,First,50,1197.0,83.1,5.0,8899,9277
924,2016,Diesel,Manual,First,64,1498.0,98.6,5.0,9446,23612
925,2013,Petrol,Manual,First,39,1197.0,80.0,5.0,5552,44117
926,2012,Diesel,Manual,First,54,1396.0,90.0,5.0,5628,44117
927,2015,Diesel,Automatic,First,45,2143.0,167.62,5.0,45636,31068
928,2016,Petrol,Manual,First,44,1197.0,82.0,5.0,7377,29927
929,2017,Petrol,Automatic,First,44,1197.0,82.0,5.0,10542,11910
930,2016,Petrol,Manual,First,53,796.0,47.3,5.0,3955,16155
931,2014,Petrol,Manual,First,42,1199.0,82.5,5.0,2875,23239
932,2018,Diesel,Automatic,First,0,1950.0,194.0,5.0,60088,5394
933,2012,Petrol,Automatic,First,32,1798.0,157.75,5.0,15212,59030
934,2009,Diesel,Automatic,First,38,1968.0,147.51,5.0,15136,21126
935,2014,Diesel,Manual,Second,30,2494.0,102.0,8.0,14375,59030
936,2017,Diesel,Automatic,First,42,2143.0,136.0,5.0,42974,8505
937,2008,Petrol,Manual,Second,46,1086.0,68.05,5.0,2738,52195
938,2008,Petrol,Manual,Second,41,1298.0,85.8,5.0,2129,29204
939,2015,Diesel,Automatic,First,50,1498.0,103.52,5.0,11028,37282
940,2012,Diesel,Manual,First,49,1248.0,73.9,5.0,5476,59651
941,2004,Petrol,Manual,Second,33,1599.0,94.0,5.0,1825,29390
942,2014,Petrol,Manual,Second,41,1198.0,86.7,5.0,7514,17551
943,2007,Petrol,Manual,Second,44,998.0,67.1,5.0,1901,40389
944,2013,Diesel,Manual,Second,51,1199.0,73.9,5.0,7301,42253
945,2019,Diesel,Automatic,First,29,2198.0,158.0,7.0,47386,6964
946,2011,Petrol,Manual,Second,39,1197.0,80.0,5.0,5020,26085
947,2012,Diesel,Manual,First,59,936.0,57.6,5.0,3650,40389
948,2010,Petrol,Manual,First,34,1799.0,130.2,5.0,3042,23612
949,2014,Petrol,Manual,First,48,998.0,67.04,5.0,4715,31689
950,2014,Petrol,Manual,First,35,1598.0,103.6,5.0,7743,21036
951,2006,Petrol,Manual,Second,36,1590.0,94.0,5.0,1597,90720
952,2015,Diesel,Manual,Second,53,1498.0,98.59,5.0,10648,29227
953,2010,Petrol,Manual,Second,31,1495.0,94.0,5.0,3803,36039
954,2012,Diesel,Automatic,First,52,1995.0,190.0,5.0,26621,38052
955,2011,Petrol,Manual,First,49,998.0,67.1,5.0,3194,56675
956,2013,Diesel,Automatic,First,36,1968.0,174.33,5.0,27001,52195
957,2008,LPG,Manual,First,40,1061.0,57.5,5.0,2205,39908
958,2005,Petrol,Automatic,Second,26,1794.0,125.0,5.0,3726,41631
959,2011,Diesel,Automatic,First,31,2400.0,215.0,5.0,20992,66471
960,2016,Diesel,Manual,First,64,1498.0,98.6,5.0,8899,16907
961,2017,Diesel,Manual,First,66,1248.0,88.5,5.0,13538,16355
962,2016,Petrol,Manual,First,47,1197.0,81.8,5.0,7834,5658
963,2015,Diesel,Automatic,First,45,2143.0,170.0,5.0,25191,39757
964,2010,Petrol,Manual,Second,44,1061.0,67.0,5.0,2510,83263
965,2015,Petrol,Automatic,First,36,1595.0,120.7,5.0,24339,6835
966,2008,Petrol,Manual,First,0,1086.0,62.0,5.0,2205,57787
967,2017,Diesel,Automatic,First,62,1248.0,74.0,5.0,12291,15442
968,2014,Petrol,Automatic,First,44,1197.0,82.0,5.0,6845,23383
969,2013,Petrol,Manual,Second,39,1498.0,97.7,5.0,6541,34175
970,2010,Petrol,Manual,First,44,998.0,66.1,5.0,3955,50609
971,2018,Petrol,Manual,First,59,799.0,53.3,5.0,6769,1180
972,2012,Petrol,Automatic,First,40,1591.0,121.4,5.0,8168,34148
973,2008,Petrol,Manual,Second,44,1061.0,67.0,5.0,2662,34175
974,2013,Diesel,Automatic,First,44,1995.0,184.0,5.0,25100,13659
975,2013,Diesel,Automatic,First,43,1995.0,177.0,5.0,28903,47224
976,2016,Diesel,Manual,First,58,1396.0,69.01,5.0,4259,40389
977,2015,Diesel,Manual,First,53,1396.0,88.73,5.0,9431,16155
978,2019,Petrol,Manual,First,39,796.0,34.2,8.0,5780,7189
979,2014,Diesel,Manual,First,59,1248.0,74.0,5.0,9279,50331
980,2019,Diesel,Manual,First,54,1498.0,98.96,5.0,17722,14387
981,2014,Petrol,Automatic,First,38,1198.0,86.8,5.0,6313,16687
982,2017,Diesel,Manual,First,32,2393.0,147.8,7.0,25100,41935
983,2008,Diesel,Manual,Second,24,2179.0,120.0,8.0,6541,109361
984,2010,Petrol,Manual,First,43,1197.0,80.0,5.0,3422,11184
985,2014,Diesel,Manual,First,52,1582.0,126.32,5.0,10268,39148
986,2014,Diesel,Manual,First,35,2179.0,140.0,7.0,14299,49709
987,2014,Diesel,Manual,First,48,1498.0,108.5,5.0,8199,35205
988,2019,Diesel,Manual,First,62,1248.0,74.0,5.0,12945,11552
989,2010,Petrol,Manual,First,32,1368.0,88.8,5.0,2814,47034
990,2012,Diesel,Manual,Second,53,1248.0,74.0,5.0,3803,50952
991,2013,Diesel,Manual,First,51,1199.0,73.9,5.0,7225,37282
992,2009,Petrol,Manual,Second,39,1497.0,118.0,5.0,5324,85749
993,2014,Diesel,Manual,First,54,1396.0,90.0,5.0,8366,41631
994,2012,Petrol,Manual,First,39,1497.0,118.0,5.0,9629,26563
995,2014,Diesel,Manual,First,59,936.0,57.6,5.0,3757,32558
996,2014,Petrol,Manual,First,38,995.0,62.1,5.0,5020,22777
997,2011,Diesel,Manual,Second,27,2179.0,138.1,7.0,5324,47845
998,2014,Diesel,Automatic,First,26,2987.0,254.8,7.0,58947,52816
999,2008,Diesel,Automatic,First,27,2993.0,235.0,5.0,12154,69904
1000,2013,Diesel,Manual,First,33,2755.0,174.5,7.0,20201,65288
1001,2012,Petrol,Automatic,First,26,1995.0,150.0,5.0,14451,49709
1002,2019,Diesel,Manual,First,47,1461.0,108.45,5.0,21312,1927
1003,2016,Diesel,Manual,First,57,1120.0,71.0,5.0,10633,9106
1004,2010,Diesel,Automatic,Second,31,1995.0,170.0,5.0,16733,65243
1005,2008,Petrol,Automatic,Second,25,2497.0,215.0,5.0,16733,37903
1006,2010,Petrol,Manual,Second,42,1198.0,75.0,5.0,3498,52845
1007,2014,Diesel,Automatic,First,38,2179.0,187.7,5.0,40312,29825
1008,2011,Diesel,Automatic,First,23,4367.0,308.0,7.0,101921,34175
1009,2017,Petrol,Automatic,First,37,1368.0,160.0,5.0,27001,2485
1010,2010,Petrol,Automatic,Second,23,2354.0,152.0,5.0,7301,58408
1011,2013,Petrol,Manual,First,43,1197.0,85.8,5.0,6951,37971
1012,2016,Diesel,Manual,First,57,1120.0,71.0,5.0,5324,49709
1013,2015,Diesel,Manual,First,44,1461.0,108.5,5.0,11576,26837
1014,2015,Diesel,Automatic,First,42,1968.0,187.74,5.0,38030,27961
1015,2016,Petrol,Manual,First,44,1197.0,82.0,5.0,8944,27450
1016,2015,Diesel,Manual,First,30,2494.0,100.6,8.0,20536,52453
1017,2015,Petrol,Manual,First,43,1197.0,80.0,5.0,6997,21747
1018,2013,Diesel,Manual,First,53,1498.0,98.59,5.0,7453,27340
1019,2012,Petrol,Manual,First,39,1497.0,118.0,5.0,7986,42026
1020,2018,Petrol,Automatic,First,34,1497.0,121.36,5.0,18878,11423
1021,2014,Diesel,Manual,First,51,1199.0,73.9,5.0,5780,21747
1022,2010,Diesel,Automatic,First,45,2143.0,170.0,5.0,13614,30447
1023,2013,Diesel,Manual,First,53,1498.0,89.84,5.0,10952,42874
1024,2017,Petrol,Manual,First,33,1396.0,65.0,5.0,6845,14433
1025,2014,Diesel,Manual,First,62,1248.0,74.0,5.0,6313,42540
1026,2016,Diesel,Manual,First,59,1248.0,88.5,5.0,12078,46361
1027,2014,Diesel,Manual,First,44,1461.0,108.45,5.0,11028,55923
1028,2016,Petrol,Manual,First,44,998.0,67.1,5.0,5628,13670
1029,2010,Petrol,Manual,First,0,1086.0,62.0,5.0,3726,36140
1030,2011,Diesel,Manual,Third,59,936.0,57.6,5.0,2281,68040
1031,2017,Diesel,Manual,First,37,1997.0,140.0,7.0,18254,8303
1032,2012,Petrol,Manual,Second,46,1086.0,68.05,5.0,3346,31689
1033,2007,Diesel,Manual,First,32,2179.0,138.0,7.0,5476,64001
1034,2009,Petrol,Manual,First,47,1197.0,78.9,5.0,2920,26720
1035,2016,Diesel,Automatic,First,26,2755.0,171.5,7.0,31185,67108
1036,2010,Diesel,Manual,First,41,1896.0,106.0,5.0,6465,51205
1037,2013,Petrol,Manual,First,44,1197.0,82.0,5.0,4867,18019
1038,2014,Diesel,Manual,First,55,1248.0,74.0,5.0,5856,27961
1039,2010,Diesel,Manual,First,54,1396.0,90.0,5.0,5293,58036
1040,2017,Diesel,Manual,Second,60,1498.0,99.0,5.0,6921,59528
1041,2016,Diesel,Manual,First,59,1248.0,88.5,7.0,10648,80778
1042,2013,Diesel,Manual,First,48,1248.0,88.8,7.0,8747,41907
1043,2016,Petrol,Automatic,First,39,1497.0,116.3,5.0,13280,29627
1044,2009,Petrol,Manual,First,46,796.0,46.3,5.0,2586,21747
1045,2016,Diesel,Automatic,First,25,3198.0,197.0,7.0,44875,42253
1046,2019,Diesel,Manual,First,57,1248.0,88.5,5.0,15957,21554
1047,2015,Petrol,Automatic,First,20,2706.0,265.0,2.0,97358,6531
1048,2016,Diesel,Manual,First,53,1248.0,74.0,5.0,11485,36039
1049,2014,Petrol,Manual,First,41,1193.0,88.7,5.0,6008,24854
1050,2010,Petrol,Manual,Fourth & Above,39,1197.0,80.0,5.0,4943,37903
1051,2009,Diesel,Manual,First,45,1422.0,70.0,5.0,4183,53437
1052,2015,Diesel,Manual,First,50,1364.0,87.2,5.0,11180,27961
1053,2017,Petrol,Manual,First,39,1198.0,73.75,5.0,7149,34175
1054,2016,Petrol,Manual,Second,35,1591.0,121.3,5.0,13341,22900
1055,2013,Petrol,Manual,First,47,1197.0,78.9,5.0,5202,29093
1056,2015,Petrol,Manual,First,43,1199.0,76.8,5.0,3803,74564
1057,2012,Diesel,Automatic,First,34,2993.0,270.9,5.0,30424,18019
1058,2014,Petrol,Manual,First,31,1598.0,102.5,5.0,7986,24854
1059,2013,Diesel,Automatic,Second,36,1968.0,174.33,5.0,22057,37282
1060,2011,Petrol,Automatic,First,39,1197.0,78.9,5.0,5248,40379
1061,2015,Petrol,Automatic,First,56,998.0,67.1,5.0,5020,45486
1062,2014,Diesel,Automatic,First,26,4134.0,335.2,7.0,77582,31068
1063,2017,Diesel,Manual,First,57,1248.0,88.5,5.0,9887,21747
1064,2013,Petrol,Manual,First,49,814.0,55.2,5.0,5552,11016
1065,2012,Diesel,Manual,First,47,1497.0,115.0,5.0,11028,60272
1066,2014,Diesel,Manual,First,51,1582.0,126.2,5.0,9142,55683
1067,2015,Petrol,Manual,First,44,998.0,67.1,5.0,4259,8699
1068,2012,Petrol,Manual,First,39,1197.0,80.0,5.0,6084,31068
1069,2014,Petrol,Manual,First,40,1497.0,117.3,5.0,9051,38838
1070,2011,Diesel,Manual,Second,30,2494.0,102.0,7.0,13995,154100
1071,2012,Diesel,Manual,First,39,1493.0,110.0,5.0,8138,58968
1072,2017,Diesel,Manual,First,41,2179.0,153.86,7.0,18254,34175
1073,2015,Diesel,Automatic,Second,28,2967.0,241.4,7.0,59236,33389
1074,2008,Petrol,Manual,Second,44,998.0,67.1,5.0,4092,33513
1075,2013,Diesel,Automatic,Second,40,1995.0,218.0,5.0,41833,36350
1076,2014,Petrol,Manual,First,42,1198.0,86.7,5.0,4183,29825
1077,2016,Petrol,Manual,First,58,796.0,47.3,5.0,4259,14912
1078,2016,Petrol,Manual,First,40,1591.0,121.3,5.0,9811,32311
1079,2018,Petrol,Manual,First,56,1199.0,84.0,5.0,8944,5943
1080,2013,Petrol,Manual,First,43,1197.0,85.8,5.0,7073,20476
1081,2014,Petrol,Manual,First,49,814.0,55.2,5.0,3803,11184
1082,2018,Petrol,Automatic,First,29,1950.0,191.34,5.0,78114,12704
1083,2016,Diesel,Manual,First,53,1396.0,88.73,5.0,10420,20515
1084,2012,Diesel,Manual,First,55,1364.0,67.05,5.0,7986,29825
1085,2014,Diesel,Manual,First,50,1364.0,87.2,5.0,14040,44752
1086,2014,Diesel,Automatic,First,48,1496.0,113.98,5.0,33466,21126
1087,2014,Diesel,Manual,First,47,1498.0,88.8,5.0,7895,42874
1088,2009,Petrol,Automatic,First,32,1798.0,157.75,5.0,6617,67108
1089,2013,Diesel,Automatic,First,23,2148.0,170.0,5.0,37269,21561
1090,2015,Diesel,Manual,First,41,1248.0,75.0,5.0,8747,49088
1091,2016,Petrol,Automatic,First,42,1497.0,117.3,5.0,13980,36161
1092,2008,Petrol,Automatic,Second,19,2979.0,321.0,5.0,16353,41010
1093,2009,Petrol,Automatic,First,45,1197.0,80.0,5.0,4548,37282
1094,2014,Diesel,Manual,First,62,1248.0,74.0,5.0,5917,35418
1095,2018,Diesel,Manual,First,61,1498.0,98.6,5.0,17843,28306
1096,2016,Petrol,Manual,First,32,796.0,35.0,5.0,4730,34260
1097,2014,Diesel,Manual,Second,40,1968.0,138.1,5.0,21981,57989
1098,2018,Diesel,Manual,First,57,1248.0,88.5,7.0,13234,23612
1099,2016,Diesel,Manual,First,56,1120.0,70.0,5.0,7666,35876
1100,2017,Diesel,Manual,First,66,1248.0,88.5,5.0,12930,23787
1101,2014,Diesel,Automatic,First,45,2143.0,170.0,5.0,23807,39767
1102,2015,Diesel,Manual,First,48,1248.0,91.72,5.0,8594,19883
1103,2010,Petrol,Automatic,First,25,2497.0,204.0,5.0,25100,51573
1104,2011,CNG,Manual,First,61,998.0,67.1,5.0,3042,47224
1105,2012,Petrol,Manual,First,35,1598.0,103.6,5.0,5932,41756
1106,2013,Diesel,Automatic,First,44,1995.0,184.0,5.0,22057,38932
1107,2015,Diesel,Automatic,First,34,2993.0,258.0,5.0,66933,10501
1108,2017,Petrol,Manual,First,44,1197.0,81.86,5.0,7606,5263
1109,2016,Diesel,Automatic,First,26,2755.0,171.5,7.0,30044,42874
1110,2017,Diesel,Automatic,First,46,1461.0,108.45,5.0,17402,18697
1111,2011,Diesel,Manual,First,42,1248.0,75.0,5.0,2662,74564
1112,2016,Petrol,Manual,First,28,1796.0,185.0,5.0,46275,22331
1113,2013,Diesel,Manual,First,35,2179.0,140.0,7.0,14558,72510
1114,2016,Diesel,Manual,First,37,2523.0,62.1,7.0,5324,25133
1115,2018,Diesel,Manual,First,57,1248.0,88.5,5.0,15911,40051
1116,2014,Diesel,Manual,First,48,1248.0,91.72,5.0,7377,32797
1117,2016,Petrol,Manual,First,45,1199.0,88.76,5.0,8640,32107
1118,2015,Petrol,Automatic,First,32,1798.0,157.75,5.0,20156,34842
1119,2011,Diesel,Automatic,First,34,2993.0,270.9,5.0,24339,40389
1120,2013,Petrol,Manual,First,44,998.0,67.1,5.0,4563,49088
1121,2010,Petrol,Automatic,First,34,1798.0,138.1,5.0,7606,43620
1122,2016,Petrol,Manual,First,37,1197.0,85.0,5.0,7225,26097
1123,2014,Petrol,Manual,First,38,1198.0,74.0,5.0,8138,38525
1124,2017,Petrol,Manual,First,44,1197.0,81.86,5.0,9096,12427
1125,2011,Diesel,Manual,Third,50,1248.0,88.8,5.0,5324,49709
1126,2018,Petrol,Manual,First,44,1197.0,81.86,5.0,7256,31213
1127,2016,Petrol,Manual,First,50,1197.0,83.1,5.0,8290,31070
1128,2018,Petrol,Automatic,First,47,1199.0,84.0,5.0,10420,621
1129,2016,Diesel,Automatic,First,62,1248.0,74.0,5.0,11104,34111
1130,2007,Petrol,Manual,First,35,1193.0,65.3,5.0,1901,67726
1131,2015,Diesel,Manual,First,53,1598.0,118.0,5.0,12550,45360
1132,2008,Petrol,Manual,First,37,1298.0,88.2,5.0,4122,40389
1133,2016,Petrol,Manual,First,44,1197.0,82.0,5.0,5476,19883
1134,2010,Petrol,Manual,First,43,1197.0,80.0,5.0,4563,40389
1135,2016,Petrol,Automatic,First,54,998.0,67.04,5.0,7073,13421
1136,2010,Diesel,Automatic,First,34,2143.0,170.0,5.0,14451,24233
1137,2011,Petrol,Manual,First,41,1298.0,85.8,5.0,4487,36086
1138,2011,Petrol,Manual,First,35,1598.0,103.6,5.0,4563,36039
1139,2015,Diesel,Manual,First,59,1248.0,74.0,5.0,9051,36039
1140,2008,Petrol,Automatic,First,34,1798.0,138.1,5.0,6084,55302
1141,2008,Petrol,Manual,First,31,1799.0,130.0,5.0,3803,44738
1142,2017,Petrol,Automatic,First,37,1499.0,110.4,5.0,17296,1118
1143,2010,Diesel,Manual,Second,44,1248.0,93.0,5.0,3422,106906
1144,2013,Petrol,Manual,First,46,1086.0,68.05,5.0,4715,28725
1145,2014,Diesel,Automatic,First,26,2400.0,215.0,5.0,26134,54012
1146,2018,Petrol,Manual,First,43,1197.0,81.83,5.0,9887,3106
1147,2014,Diesel,Manual,First,61,1498.0,98.6,5.0,8670,41010
1148,2013,Diesel,Manual,First,30,2494.0,100.0,8.0,12169,73943
1149,2016,Petrol,Manual,First,59,799.0,53.3,5.0,3955,27961
